  %CPU   %USR   %SYS   PID S  CPU   Time Task
 12.00   7.00   5.00  6545 S    4  2.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 15.00  10.00   5.00  6545 S    4  2.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 16.00  11.00   5.00  6545 S    4  2.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00   8.00   5.00  6545 S    4  2.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 15.00   9.00   6.00  6545 S    4  2.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 16.00  10.00   6.00  6545 S    4  2.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00   8.00   6.00  6545 S    4  2.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 17.00  12.00   5.00  6545 S    4  2.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00   9.00   5.00  6545 S    4  2.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 91.00  73.00  18.00  6545 S    4  2.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
611.00 231.00 380.00  6545 S    4  2.53m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
134.00 124.00  10.00  6545 S    4  2.56m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00  10.00   3.00  6545 S    4  2.56m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00   8.00   6.00  6545 S    4  2.56m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 34.00  29.00   5.00  6545 S    4  2.57m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 79.00  67.00  12.00  6545 S    4  2.58m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
270.00 230.00  40.00  6545 S    4  2.62m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
136.00 110.00  26.00  6545 S    4  2.65m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 70.00  54.00  16.00  6545 S    4  2.66m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
152.00 122.00  30.00  6545 S    4  2.68m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
189.00 119.00  70.00  6545 S    4  2.72m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 65.00  52.00  13.00  6545 S    4  2.73m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
233.00 186.00  47.00  6545 S    4  2.77m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
145.00 117.00  28.00  6545 S    4  2.79m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
104.00  79.00  25.00  6545 S    4  2.81m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
121.00 104.00  17.00  6545 S    4  2.83m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 76.00  59.00  17.00  6545 S    4  2.84m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
272.00 149.00 123.00  6545 S    4  2.88m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
105.00  78.00  27.00  6545 S    4  2.90m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
114.00  86.00  28.00  6545 S    4  2.92m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 89.00  72.00  17.00  6545 S    4  2.94m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
234.00 194.00  40.00  6545 S    4  2.98m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
217.00 179.00  38.00  6545 S    4  3.01m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
239.00 158.00  81.00  6545 S    4  3.05m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
187.00 149.00  38.00  6545 S    4  3.08m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
165.00 118.00  47.00  6545 S    4  3.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
369.00 255.00 114.00  6545 S    4  3.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
390.00 237.00 153.00  6545 S    4  3.24m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
246.00 155.00  91.00  6545 S    4  3.28m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
1061.00 873.00 188.00  6545 S    4  3.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
445.00 270.00 175.00  6545 S    4  3.53m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
444.00 292.00 152.00  6545 S    4  3.60m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
