  %CPU   %USR   %SYS   PID S  CPU   Time Task
 45.00  41.00   4.00  7163 S    6  2.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   6.00   2.00  7163 S    6  2.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   5.00   3.00  7163 S    6  2.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   8.00   2.00  7163 S    6  2.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 53.00  34.00  19.00  7163 S    6  2.32m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   5.00   3.00  7163 S    6  2.32m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00   9.00   2.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   6.00   3.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   6.00   4.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   6.00   2.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   7.00   2.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   7.00   3.00  7163 S    6  2.33m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   8.00   1.00  7163 S    6  2.34m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   5.00   4.00  7163 S    6  2.34m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00  10.00   3.00  7163 S    6  2.34m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 41.00  32.00   9.00  7163 S    6  2.35m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 42.00  30.00  12.00  7163 S    6  2.35m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
291.00 244.00  47.00  7163 S    6  2.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 87.00  65.00  22.00  7163 S    6  2.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
117.00  85.00  32.00  7163 S    6  2.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
131.00 106.00  25.00  7163 S    6  2.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
194.00 159.00  35.00  7163 S    6  2.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 91.00  70.00  21.00  7163 S    6  2.51m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
132.00  98.00  34.00  7163 S    6  2.53m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
136.00 108.00  28.00  7163 S    6  2.55m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 74.00  60.00  14.00  7163 S    6  2.56m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
146.00 126.00  20.00  7163 S    6  2.59m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 87.00  70.00  17.00  7163 S    6  2.60m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 62.00  45.00  17.00  7163 S    6  2.61m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
117.00  89.00  28.00  7163 S    6  2.63m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 56.00  40.00  16.00  7163 S    6  2.64m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
233.00 172.00  61.00  7163 S    6  2.68m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
295.00 214.00  81.00  7163 S    6  2.73m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
217.00 152.00  65.00  7163 S    6  2.76m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
141.00 116.00  25.00  7163 S    6  2.79m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
215.00 161.00  54.00  7163 S    6  2.82m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
326.00 229.00  97.00  7163 S    6  2.88m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
245.00 171.00  74.00  7163 S    6  2.92m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
216.00 145.00  71.00  7163 S    6  2.95m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
415.00 243.00 172.00  7163 S    6  3.02m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
539.00 340.00 199.00  7163 S    6  3.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
433.00 313.00 120.00  7163 S    6  3.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
366.00 244.00 122.00  7163 S    6  3.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
366.00 234.00 132.00  7163 S    6  3.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
371.00 240.00 131.00  7163 S    6  3.37m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
406.00 266.00 140.00  7163 S    6  3.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
399.00 253.00 146.00  7163 S    6  3.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
435.00 214.00 221.00  7163 S    6  3.58m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
436.00 299.00 137.00  7163 S    6  3.65m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
366.00 223.00 143.00  7163 S    6  3.71m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
366.00 227.00 139.00  7163 S    6  3.77m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
419.00 269.00 150.00  7163 S    6  3.84m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
401.00 263.00 138.00  7163 S    6  3.91m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
364.00 212.00 152.00  7163 S    6  3.97m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
849.00 705.00 144.00  7163 S    6  4.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
373.00 239.00 134.00  7163 S    6  4.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
381.00 227.00 154.00  7163 S    6  4.24m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
1338.00 410.00 928.00  7163 S    6  4.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
374.00 233.00 141.00  7163 S    6  4.52m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
367.00 224.00 143.00  7163 S    6  4.58m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
217.00 170.00  47.00  7163 S    6  4.62m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
602.00 485.00 117.00  7163 S    6  4.72m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
382.00 237.00 145.00  7163 S    6  4.78m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
376.00 229.00 147.00  7163 S    6  4.84m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
390.00 241.00 149.00  7163 S    6  4.91m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
372.00 206.00 166.00  7163 S    6  4.97m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
397.00 223.00 174.00  7163 S    6  5.04m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
389.00 239.00 150.00  7163 S    6  5.10m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
853.00 570.00 283.00  7163 S    6  5.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
979.00 392.00 587.00  7163 S    6  5.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
625.00 198.00 427.00  7163 S    6  5.51m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
394.00 246.00 148.00  7163 S    6  5.58m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
357.00 218.00 139.00  7163 S    6  5.64m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
402.00 275.00 127.00  7163 S    6  5.70m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
371.00 217.00 154.00  7163 S    6  5.77m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
392.00 227.00 165.00  7163 S    6  5.83m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
377.00 225.00 152.00  7163 S    6  5.89m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
588.00 266.00 322.00  7163 S    6  5.99m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
1389.00 782.00 607.00  7163 S    6  6.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
392.00 248.00 144.00  7163 S    6  6.29m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
372.00 219.00 153.00  7163 S    6  6.35m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
386.00 235.00 151.00  7163 S    6  6.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
412.00 250.00 162.00  7163 S    6  6.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
412.00 256.00 156.00  7163 S    6  6.55m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
479.00 423.00  56.00  7163 S    6  6.63m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
138.00 130.00   8.00  7163 S    6  6.66m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
279.00 194.00  85.00  7163 S    6  6.70m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
366.00 235.00 131.00  7163 S    6  6.76m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
387.00 217.00 170.00  7163 S    6  6.83m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
353.00 219.00 134.00  7163 S    6  6.89m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
362.00 208.00 154.00  7163 S    6  6.95m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
368.00 219.00 149.00  7163 S    6  7.01m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
402.00 262.00 140.00  7163 S    6  7.08m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
694.00 231.00 463.00  7163 S    6  7.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
364.00 224.00 140.00  7163 S    6  7.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
362.00 217.00 145.00  7163 S    6  7.31m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
357.00 210.00 147.00  7163 S    6  7.37m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
445.00 290.00 155.00  7163 S    6  7.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
356.00 216.00 140.00  7163 S    6  7.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
411.00 269.00 142.00  7163 S    6  7.57m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
360.00 213.00 147.00  7163 S    6  7.63m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
437.00 286.00 151.00  7163 S    6  7.71m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
373.00 215.00 158.00  7163 S    6  7.77m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
421.00 250.00 171.00  7163 S    6  7.84m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
360.00 226.00 134.00  7163 S    6  7.90m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
359.00 229.00 130.00  7163 S    6  7.96m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
350.00 215.00 135.00  7163 S    6  8.02m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
309.00 226.00  83.00  7163 S    6  8.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
150.00 143.00   7.00  7163 S    6  8.09m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
136.00 136.00   0.00  7163 S    6  8.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
159.00 123.00  36.00  7163 S    6  8.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
248.00 131.00 117.00  7163 S    6  8.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
227.00 125.00 102.00  7163 S    6  8.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 40.00  33.00   7.00  7163 S    6  8.23m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
103.00  82.00  21.00  7163 S    6  8.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   6.00   4.00  7163 S    6  8.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 20.00  15.00   5.00  7163 S    6  8.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   4.00   6.00  7163 S    6  8.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   6.00   3.00  7163 S    6  8.25m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 26.00  18.00   8.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00   8.00   3.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   4.00   4.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   4.00   4.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   3.00   3.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   5.00   4.00  7163 S    6  8.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   4.00   4.00  7163 S    6  8.27m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   5.00   4.00  7163 S    6  8.27m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   6.00   3.00  7163 S    6  8.27m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   4.00   4.00  7163 S    6  8.27m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   4.00   3.00  7163 S    6  8.27m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   5.00   3.00  7163 S    6  8.27m java

