  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.06m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   8.00   0.00  1242 S    1  1.06m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   9.00   0.00  1242 S    1  1.06m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00  13.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.07m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 46.00  44.00   2.00  1242 S    1  1.08m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 17.00  16.00   1.00  1242 S    1  1.08m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00  10.00   0.00  1242 S    1  1.09m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 18.00  18.00   0.00  1242 S    1  1.09m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 38.00  37.00   1.00  1242 S    1  1.10m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 23.00  22.00   1.00  1242 S    1  1.10m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00  13.00   1.00  1242 S    1  1.10m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  10.00   1.00  1242 S    1  1.10m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00  10.00   0.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 16.00  15.00   1.00  1242 S    1  1.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 23.00  22.00   1.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.13m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 18.00  17.00   1.00  1242 S    1  1.13m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.13m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 22.00  22.00   0.00  1242 S    1  1.13m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.13m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   8.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   2.00   2.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.14m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   3.00   2.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   2.00   2.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.15m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 20.00  19.00   1.00  1242 S    1  1.16m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.16m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.16m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.16m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 22.00  21.00   1.00  1242 S    1  1.16m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 27.00  27.00   0.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00  12.00   1.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   1.00   2.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00  10.00   0.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.17m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 17.00  17.00   0.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 15.00  15.00   0.00  1242 S    1  1.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 16.00  16.00   0.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   7.00   2.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   9.00   0.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   1.00   2.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.19m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  2.00   2.00   0.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   9.00   0.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   8.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  2.00   1.00   1.00  1242 S    1  1.20m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 12.00  11.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   9.00   0.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   9.00   1.00  1242 S    1  1.21m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.22m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.22m java

